ligand	receptor
Dkk1	Kremen2
Adm	Mrgpra6
Adm	Mrgpra9
Adm	Mrgpra1
Adm	Mrgpra2a
Adm	Mrgpra2b
Adm	Mrgpra3
Adm	Mrgpra4
Adm	Mrgprx1
Adm	Mrgprb5
Adm	Mrgprb4
Adm	Mrgprb8
Adm	Mrgprb1
Adm	Mrgprx2
Adm	Mrgprb2
Adm	Mrgprb3
Arf1	Chrm3
Ccl5	Ackr4
Clec3a	Mgl2
Clec3a	Clec10a
Icam4	Itgb1
Igfl1	Igflr1
Sema7a	Plxnc1
Timp3	Kdr
Csf2	Csf1r
Tgfb2	Eng
Clec11a	Kit
Mmp7	Erbb4
Fn1	Tnfrsf11b
Mepe	Phex
Npnt	Itgb1
Adam15	Itga5
Shank1	Sstr2
Nms	Nmur1
Col4a1	Cd47
Adam2	Itga9
Sytl3	Nrxn1
Sema3d	Nrp1
Pros1	Tyro3
Tgfb3	Eng
H2-D1	Kir3dl2
H2-D1	Kir3dl1
H2-Q1	Kir3dl2
H2-Q1	Kir3dl1
H2-Q2	Kir3dl2
H2-Q2	Kir3dl1
H2-Q4	Kir3dl2
H2-Q4	Kir3dl1
H2-Q6	Kir3dl2
H2-Q6	Kir3dl1
H2-Q7	Kir3dl2
H2-Q7	Kir3dl1
H2-Q10	Kir3dl2
H2-Q10	Kir3dl1
H2-T24	Kir3dl2
H2-T24	Kir3dl1
H2-T23	Kir3dl2
H2-T23	Kir3dl1
H2-T22	Kir3dl2
H2-T22	Kir3dl1
Gm11127	Kir3dl2
Gm11127	Kir3dl1
Gm7030	Kir3dl2
Gm7030	Kir3dl1
H2-T10	Kir3dl2
H2-T10	Kir3dl1
Gm8909	Kir3dl2
Gm8909	Kir3dl1
H2-T3	Kir3dl2
H2-T3	Kir3dl1
H2-M10.2	Kir3dl2
H2-M10.2	Kir3dl1
H2-M10.1	Kir3dl2
H2-M10.1	Kir3dl1
H2-M10.3	Kir3dl2
H2-M10.3	Kir3dl1
H2-M10.4	Kir3dl2
H2-M10.4	Kir3dl1
H2-M11	Kir3dl2
H2-M11	Kir3dl1
H2-M9	Kir3dl2
H2-M9	Kir3dl1
H2-M1	Kir3dl2
H2-M1	Kir3dl1
H2-M10.5	Kir3dl2
H2-M10.5	Kir3dl1
H2-M10.6	Kir3dl2
H2-M10.6	Kir3dl1
H2-M3	Kir3dl2
H2-M3	Kir3dl1
H2-M2	Kir3dl2
H2-M2	Kir3dl1
H2-M5	Kir3dl2
H2-M5	Kir3dl1
H2-K1	Kir3dl2
H2-K1	Kir3dl1
Vcam1	Itga9
Mmp9	Itgam
Mmp9	Gm49368
Defb14	Ccr2
Angpt1	Itga5
Cntn2	Nrcam
Gnai2	Drd2
Rgma	Hfe2
Serpine1	Lrp1
Adam17	Notch1
Vegfa	Egfr
Arf1	Insr
F2	Gp1ba
Lrpap1	Sorl1
F10	Itgb2l
F10	Itgb2
Ren1	Atp6ap2
Apoe	Sorl1
Il18	Il1rapl1
Spint1	St14
Lamb2	Rpsa
Shh	Lrp2
Liph	Lpar1
Thbs1	Itga6
Fgg	Itga2b
Ccl19	Ackr4
a	F11r
Fgf2	Sdc3
Gnai2	S1pr3
Gdf10	Acvr1b
Nxph3	Nrxn3
Sema7a	Itga1
Sema3a	Plxna2
Il16	Kcna3
Tdgf1	Gpc1
Vtn	Itgb6
Apoe	Lrp5
Icam4	Rhag
Hspg2	Ptprs
F8	Ldlr
Ncam1	Fgfr2
Ntn3	Neo1
Vwf	Tnfrsf11b
Igf1	Insr
Ntng2	Lrrc4c
Col5a3	Sdc3
Pspn	Sdc3
Rims2	Abca1
Crp	Olr1
Col8a1	Itga2
B2m	Cd3g
Gnai2	Ednra
Icam4	Itgb3
Gnas	Htr6
H2-D1	Clec2m
H2-D1	Klre1
H2-D1	Klri1
H2-D1	Klri2
H2-D1	Klrh1
H2-Q1	Clec2m
H2-Q1	Klre1
H2-Q1	Klri1
H2-Q1	Klri2
H2-Q1	Klrh1
H2-Q2	Clec2m
H2-Q2	Klre1
H2-Q2	Klri1
H2-Q2	Klri2
H2-Q2	Klrh1
H2-Q4	Clec2m
H2-Q4	Klre1
H2-Q4	Klri1
H2-Q4	Klri2
H2-Q4	Klrh1
H2-Q6	Clec2m
H2-Q6	Klre1
H2-Q6	Klri1
H2-Q6	Klri2
H2-Q6	Klrh1
H2-Q7	Clec2m
H2-Q7	Klre1
H2-Q7	Klri1
H2-Q7	Klri2
H2-Q7	Klrh1
H2-Q10	Clec2m
H2-Q10	Klre1
H2-Q10	Klri1
H2-Q10	Klri2
H2-Q10	Klrh1
H2-T24	Clec2m
H2-T24	Klre1
H2-T24	Klri1
H2-T24	Klri2
H2-T24	Klrh1
H2-T23	Clec2m
H2-T23	Klre1
H2-T23	Klri1
H2-T23	Klri2
H2-T23	Klrh1
H2-T22	Clec2m
H2-T22	Klre1
H2-T22	Klri1
H2-T22	Klri2
H2-T22	Klrh1
Gm11127	Clec2m
Gm11127	Klre1
Gm11127	Klri1
Gm11127	Klri2
Gm11127	Klrh1
Gm7030	Clec2m
Gm7030	Klre1
Gm7030	Klri1
Gm7030	Klri2
Gm7030	Klrh1
H2-T10	Clec2m
H2-T10	Klre1
H2-T10	Klri1
H2-T10	Klri2
H2-T10	Klrh1
Gm8909	Clec2m
Gm8909	Klre1
Gm8909	Klri1
Gm8909	Klri2
Gm8909	Klrh1
H2-T3	Clec2m
H2-T3	Klre1
H2-T3	Klri1
H2-T3	Klri2
H2-T3	Klrh1
H2-M10.2	Clec2m
H2-M10.2	Klre1
H2-M10.2	Klri1
H2-M10.2	Klri2
H2-M10.2	Klrh1
H2-M10.1	Clec2m
H2-M10.1	Klre1
H2-M10.1	Klri1
H2-M10.1	Klri2
H2-M10.1	Klrh1
H2-M10.3	Clec2m
H2-M10.3	Klre1
H2-M10.3	Klri1
H2-M10.3	Klri2
H2-M10.3	Klrh1
H2-M10.4	Clec2m
H2-M10.4	Klre1
H2-M10.4	Klri1
H2-M10.4	Klri2
H2-M10.4	Klrh1
H2-M11	Clec2m
H2-M11	Klre1
H2-M11	Klri1
H2-M11	Klri2
H2-M11	Klrh1
H2-M9	Clec2m
H2-M9	Klre1
H2-M9	Klri1
H2-M9	Klri2
H2-M9	Klrh1
H2-M1	Clec2m
H2-M1	Klre1
H2-M1	Klri1
H2-M1	Klri2
H2-M1	Klrh1
H2-M10.5	Clec2m
H2-M10.5	Klre1
H2-M10.5	Klri1
H2-M10.5	Klri2
H2-M10.5	Klrh1
H2-M10.6	Clec2m
H2-M10.6	Klre1
H2-M10.6	Klri1
H2-M10.6	Klri2
H2-M10.6	Klrh1
H2-M3	Clec2m
H2-M3	Klre1
H2-M3	Klri1
H2-M3	Klri2
H2-M3	Klrh1
H2-M2	Clec2m
H2-M2	Klre1
H2-M2	Klri1
H2-M2	Klri2
H2-M2	Klrh1
H2-M5	Clec2m
H2-M5	Klre1
H2-M5	Klri1
H2-M5	Klri2
H2-M5	Klrh1
H2-K1	Clec2m
H2-K1	Klre1
H2-K1	Klri1
H2-K1	Klri2
H2-K1	Klrh1
Lpa	Lrp2
Icam3	Cd209f
Icam3	Cd209g
C3	Lrp1
Nxph2	Nrxn1
Sema5a	Plxnb3
Mfge8	Itgav
Defb4a	Ccr6
Hras	Insr
Hla-G	Lilrb1
Gnai2	Cnr1
App	Ncstn
Efemp2	Aqp1
Lama2	Rpsa
L1cam	Itgav
Rspo4	Lgr4
Iapp	Ramp3
Grem1	Kdr
Rspo1	Lrp6
Adm	Calcr
Hhipl2	Cachd1
Il8	Sdc1
Col9a2	Mag
Fga	Cdh5
Npw	Npbwr2
Pdgfc	Flt1
Bst1	Cav1
Adam15	Itgav
Has2	Hmmr
Tfpi	Sdc4
Hp	Itgb2l
Hp	Itgb2
Mdk	Sdc3
9530003J23Rik	Itgal
Cela3a	Chrm3
Cela3b	Chrm3
Pomc	Oprm1
Gnrh2	Gnrhr
Myoc	Fzd3
Ppy	Npy4r
Igfl2	Igflr1
Pomc	Oprd1
Nlgn3	Nrxn1
Hla-C	Cd3d
Apoe	Lrp1
Angptl4	Tie1
Mmp2	Sdc2
Hp	Asgr2
Adam9	Itga3
Oxt	Avpr2
F8	Asgr2
Epgn	Egfr
Nampt	Insr
Fn1	Flt4
Defb14	Ccr6
Bgn	Tlr2
Mdk	Sdc1
Arf1	Pld2
Penk	Oprd1
Ghrl	Gpr39
Cdh1	Itgb7
F13a1	Itga4
Icam1	Itgal
Ncam1	Ptpra
Vcan	Itga4
Itih2	Fcer1a
Nid2	Col13a1
Bgn	Tlr1
Fgg	Itga5
Vwf	Selp
Ace	Bdkrb2
Ccl21d	Ackr4
Gm13304	Ackr4
Ccl21b	Ackr4
Gm10591	Ackr4
Ccl21a	Ackr4
Zp3	Egfr
Gnas	Adrb3
Efnb2	Epha6
Areg	Erbb3
Apob	Lrp2
Gnas	Vipr1
Slit2	Gpc1
Adam23	Itgb3
Cdh1	Ptprf
Tac4	Tacr2
Fga	Itgam
Fga	Gm49368
Fgb	Itgb2l
Fgb	Itgb2
Il8	Sdc3
Nmb	Brs3
Mllt4	Nrxn2
Gnai2	Igf1r
Rtn4	Tnfrsf19
Fgf23	Fgfr3
Myoc	Fzd10
Gnai2	C5ar1
Pi3	Pld2
Ostn	Npr3
Mmp1a	Itga2
Mmp1b	Itga2
Vcan	Sell
Hras	Sdc2
Madcam1	Itgb7
Anxa1	Egfr
Agrp	Mc3r
Tnc	Nt5e
Krtap4-7	Plscr4
Gm11555	Plscr4
Angptl2	Tie1
App	Tnfrsf21
Nodal	Acvr1c
Psap	Lrp1
Sema4f	Nrp2
Lama5	Sdc1
Egf	Fshr
Gnai2	P2ry12
Col1a2	Itga2b
Ptdss1	Jmjd6
Serpinc1	Sdc2
Cd40lg	Itgam
Cd40lg	Gm49368
Efna3	Ephb6
Pdgfc	Flt4
Lgals3bp	Itgb1
Podxl2	Sell
Gal	Galr3
Il15	Il2ra
Lpl	Vldlr
F13a1	Itgb1
Rspo1	Lgr6
Efna1	Ephb6
Ereg	Erbb3
Ihh	Boc
Vim	Cd44
Tdgf1	Acvr2a
Pdgfb	S1pr1
Gdf9	Orai2
Icam3	Itgal
Hsp90aa1	Cftr
Uts2b	Uts2r
Rtn4	Gjb2
Slit1	Gpc1
Bmp15	Acvr2a
Adam9	Itgb5
Rgma	Neo1
Fgf2	Sdc2
Vtn	Plaur
Calr	Mtnr1a
Bcan	Egfr
Rspo3	Sdc4
Icam2	Itgb2l
Icam2	Itgb2
Sost	Lrp5
Ccl19	Ccrl2
Serpine1	Plaur
Npy	Npffr2
Artn	Ret
Rims1	Slc18a2
a	Mc4r
Krtap4-7	Cldn2
Gm11555	Cldn2
H2-D1	Slc16a4
H2-Q1	Slc16a4
H2-Q2	Slc16a4
H2-Q4	Slc16a4
H2-Q6	Slc16a4
H2-Q7	Slc16a4
H2-Q10	Slc16a4
H2-T24	Slc16a4
H2-T23	Slc16a4
H2-T22	Slc16a4
Gm11127	Slc16a4
Gm7030	Slc16a4
H2-T10	Slc16a4
Gm8909	Slc16a4
H2-T3	Slc16a4
H2-M10.2	Slc16a4
H2-M10.1	Slc16a4
H2-M10.3	Slc16a4
H2-M10.4	Slc16a4
H2-M11	Slc16a4
H2-M9	Slc16a4
H2-M1	Slc16a4
H2-M10.5	Slc16a4
H2-M10.6	Slc16a4
H2-M3	Slc16a4
H2-M2	Slc16a4
H2-M5	Slc16a4
H2-K1	Slc16a4
Kng2	Bdkrb2
Kng1	Bdkrb2
Tnc	Ptprz1
Ncam1	Robo1
1700013F07Rik	Plscr4
Tac4	Tacr1
Il31	Osmr
Psap	Gpr37
Gnai2	S1pr1
Tgm2	Tbxa2r
Plau	Itgav
Ltf	Lrp1
Cgn	Tgfbr2
Hspg2	Itga2
Hla-C	Cd3g
L1cam	Cntn1
Camp	Igf1r
Col1a1	Itga5
Amely	Lamp1
Lamc2	Cd151
Hgf	St14
Ntn4	Dcc
Gnai2	Ednrb
C1qtnf5	Mfrp
Icam5	Itgal
Dhh	Boc
Liph	Lpar4
Fst	Hfe2
B2m	Kir3dl2
B2m	Kir3dl1
Ly6g5c	Tmem8a
Gnai2	Adcy1
Nps	Npsr1
Penk	Oprm1
Tgfb1	Cxcr4
Nlgn1	Nrxn1
Gnas	Avpr2
Azgp1	Itgav
Psen1	Notch3
Ltf	Gpr162
Insl5	Rxfp4
Shh	Gpc5
Rspo1	Znrf3
C1qa	Cd93
Agrn	Lrp4
Hspg2	Itgb1
Plg	Itgb1
Itgb3bp	Itgb3
Ctgf	Lrp1
Col4a2	Cd93
Vip	Sctr
B2m	Klrd1
Hgf	Cd44
Rtn4	Rtn4r
Adam23	Itga5
Wnt5a	Lrp5
Lama1	Nt5e
Lgals3bp	Vangl1
Hla-C	Ddr1
Grp	Brs3
Vip	Adcyap1r1
Lcn2	Lrp2
Il10	Gm9733
Il10	Sirpb1a
Il10	Sirpb1b
Il10	Sirpb1c
Il10	Gm5150
Il10	Sirpa
Gnas	Adcy8
Spon2	Itgam
Spon2	Gm49368
Slit3	Robo2
Btla	Cd247
Plg	F3
F12	Gp1ba
Edn3	Kel
Wnt3a	Fzd7
Tnfrsf4	Tnfsf4
Fgf8	Fgfrl1
Adm2	Gpr84
Icosl	Cd28
Adm	Vipr1
Ccl20	Mtnr1a
Insl5	Adra2a
Ccl25	Grm7
Sst	Adra2a
Crh	Gpr84
Cxcl9	Grm7
Adm2	Adrb3
Ncam1	L1cam
Adm	Gpr20
Ccl26	Ccr5
Il36a	Il1rl2
Iapp	Adrb2
Agt	Adra2a
Wnt3	Ror2
Rln3	Ramp2
Pyy	Grm7
Cxcl9	Mtnr1a
Nfasc	Cntn1
Tph1	Htr1f
Cxcl16	Adra2a
Cga	Gpr20
Tshb	Adrb2
Calm2	Mylk
L1cam	L1cam
Sct	Ramp3
Wnt10a	Lrp6
Apoa1	Lrp1
Jag1	Cd46
Rln1	Vipr1
Calm3	Pde1a
Gm13306	Adra2a
Ccl27b	Adra2a
Ccl27a	Adra2a
Dsc2	Dsg1c
Dsc2	Dsg1a
Dsc2	Dsg1b
Ptprm	Ptprm
Itgb2l	Icam1
Itgb2	Icam1
Insl5	Grm7
Ppbp	Adra2a
Iapp	Adrb3
Pspn	Gfra2
Cd274	Cd80
Adm	Ramp1
Hsp90b1	Lrp1
Fshb	Adrb2
Pvr	Tigit
Wnt9a	Lrp6
Insl3	Adcyap1r1
Cadm1	Nectin3
Cxcl5	Grm7
Lefty2	Acvr1b
Lefty1	Acvr1b
Pomc	Gpr20
Dsc1	Dsg1c
Dsc1	Dsg1a
Dsc1	Dsg1b
Calm3	Mylk2
Adm	Gpr84
Wnt10b	Fzd1
Cxcl13	Mtnr1a
Adm	Adcyap1r1
Lrrc4c	Ntng1
Cxcl16	Mtnr1a
Calm1	Cnga2
Adcyap1	Ramp3
Rln1	Ramp2
Cx3cl1	Itgb3
Tph1	Htr2a
Cxcl5	Adra2a
Ccl25	Mtnr1a
Calm1	Mylk2
Hc	Mtnr1a
Cadm3	Cadm1
Wnt10b	Lrp5
Pf4	Grm7
Tph1	Htr5a
Wnt2	Lrp5
Pomc	Ramp3
Apln	Adra2a
Avp	Lrp2
Tgfb1	Itgb5
Nmu	Mtnr1a
Dusp18	Cd151
Itgb2l	Icam2
Itgb2	Icam2
Calca	Tshr
Pomc	Adrb2
Cort	Mtnr1a
Ccl21d	Grm7
Gm13304	Grm7
Ccl21b	Grm7
Gm10591	Grm7
Ccl21a	Grm7
Ppy	Mtnr1a
Wnt4	Lrp5
Calm1	Fas
Itgb2l	Cd226
Itgb2	Cd226
Gcg	Adrb3
Calca	Gpr20
C3	Mtnr1a
Ghrh	Gpr20
Fgf21	Fgfr1
Mif	Egfr
Tph1	Htr1e
Cers1	Acvr1b
Gdf1	Acvr1b
Cadm1	Cadm1
Vegfd	Flt4
Calca	Adrb3
Sell	Cd34
Gip	Adrb3
Wnt1	Ror2
Adm2	Ramp2
Rln3	Gpr20
Vip	Adrb2
Calm1	Grm4
Fshb	Gpr20
Il17c	Il17re
Cd226	Nectin2
Calcb	Adrb3
Fshb	Vipr1
Wnt7b	Fzd3
Pvr	Nectin3
App	Sorl1
Tnf	Celsr2
Wnt3a	Lrp5
Nectin2	Cd226
Cxcl8	Cxcr1
Hmgb1	Tlr2
Wnt9b	Lrp5
Inhba	Acvr1c
Ghrh	Gpr84
Hspg2	Lrp2
Wnt5a	Lrp6
Lefty2	Acvr1b
Lefty1	Acvr1b
Adm	Tshr
Adm2	Adrb2
Spn	Siglec1
Nectin1	Nectin4
Ccl28	Adra2a
Icam1	Spn
Sct	Gpr20
Pth2	Ramp2
Ppbp	Mtnr1a
Col18a1	Itgb5
Agrn	Lrp2
Cers1	Acvr2b
Gdf1	Acvr2b
Itga9	Vcam1
Egf	Lrp2
Gip	Adrb2
Gm13306	Mtnr1a
Ccl27b	Mtnr1a
Ccl27a	Mtnr1a
Rln1	Adrb2
Npy	Grm7
Nps	Adcyap1r1
Jam3	Itgb2l
Jam3	Itgb2
Gcg	Adrb2
Grn	Cd209f
Grn	Cd209g
Insl3	Vipr1
Pth	Gpr20
Fshb	Ramp2
Ccl2	Ackr1
Adm	Adrb2
Pomc	Grm7
Dsc2	Dsg2
Pth2	Vipr1
Nppc	Npr1
Lhb	Adcyap1r1
Cd226	Pvr
Calm1	Vipr1
Cd86	Ctla4
Wnt8b	Lrp6
Adm	Adrb3
Gal	Mtnr1a
Cxcl5	Mtnr1a
Vegfd	Kdr
Nucb2	Erap1
Cxcl13	Grm7
Cd80	Cd28
Calca	Adcyap1r1
Tph1	Htr4
Pdyn	Mtnr1a
Penk	Grm7
Ccl21d	Adra2a
Gm13304	Adra2a
Ccl21b	Adra2a
Gm10591	Adra2a
Ccl21a	Adra2a
Ghrh	Tshr
Mpz	Mpz
Pvr	Cd226
Tph1	Htr7
Apoa1	Lrp2
Vip	Ramp1
Pmch	Grm7
Insl3	Ramp3
Grn	Sort1
Wnt3a	Fzd10
Nectin1	Nectin3
Tph1	Htr2b
Fshb	Adrb3
Rln3	Tshr
Hgf	Nrp1
Fgf10	Fgfrl1
Wnt9a	Lrp5
Tgfb1	Itgb3
Nps	Vipr1
Crlf1	Cntfr
Pomc	Tshr
Pth	Adcyap1r1
Pspn	Gfra3
Fgf22	Fgfr1
Hdc	Hrh4
Avp	Adcyap1r1
Wnt3a	Fzd3
F11r	Jam2
Nectin1	Cadm3
Ghrh	Ramp3
Nectin2	Nectin3
Fshb	Gpr84
Adm2	Ramp3
Cadm1	Cadm3
Pth	Tshr
Avp	Gpr20
Fgf20	Fgfr1
Pnoc	Grm7
Calm2	Mylk2
Rln3	Adrb2
Hebp1	Mtnr1a
Wnt8a	Lrp5
Cga	Gpr84
Pomc	Gpr84
Lhb	Vipr1
Jam2	Jam3
Sct	Tshr
Gcg	Tshr
Fgf20	Fgfr3
Cxcl2	Grm7
Agt	Mtnr1a
Crh	Adcyap1r1
Ghrl	Tbxa2r
Anxa1	Mtnr1a
Pth	Adrb3
Gip	Ramp2
Calm1	Pth2r
Cxcl14	Cxcr4
Insl3	Gpr20
Tgfb1	Itgb1
Pomc	Adcyap1r1
Il36b	Il1rap
Rln1	Gpr84
Calm1	Egfr
Spp1	Itga8
Pth	Gpr84
Fshb	Ramp3
Npw	Mtnr1a
Hsp90b1	Erbb2
Cga	Ramp3
Pth	Ramp2
Tph1	Htr1d
Apoa1	Abca1
Il36b	Il1rl2
Lrrc4	Ntng2
Tph1	Htr2c
Calm3	Pde1c
Adcyap1	Tshr
Calcb	Vipr1
Pf4	Adra2a
Ccl20	Grm7
Nectin3	Nectin1
Rln1	Tshr
Pomc	Adrb3
Il6	Hrh1
Pf4	Mtnr1a
App	Mtnr1a
Cxcl10	Grm7
Sst	Grm7
L1cam	Alcam
Crh	Ramp3
Calcb	Ramp3
Cxcl11	Grm7
Jam3	Itgam
Jam3	Gm49368
Ptprc	Cd22
Rln1	Gpr20
Nrg1	Adgrl1
Cers1	Acvr2a
Gdf1	Acvr2a
Artn	Gfra2
Sele	Glg1
Tnf	Ptprs
Iapp	Adcyap1r1
Insl3	Rxfp1
Saa1	Grm7
Fam3c	Glra2
Npb	Mtnr1a
Ccl7	Ackr1
Jam3	Jam3
Ccl5	Mtnr1a
L1cam	Itgb3
Dusp18	Itga3
Calm1	Insr
Ghrl	Ptgir
Calm3	Mylk
Pth	Adrb2
Gal	Grm7
Hmgb1	Tlr4
Calm1	Crhr1
Nectin2	Tigit
Dusp18	Itga2
Vegfd	Itga9
Hc	Adra2a
Dusp18	Itga7
Hebp1	Fpr2
Hebp1	Fpr3
Pth	Ramp3
Cxcl2	Adra2a
Insl3	Ramp2
Insl3	Gpr84
Apoa1	Ldlr
Gcg	Vipr1
Ccl12	Ackr1
Hspg2	Lrp1
Ccl25	Adra2a
Tshb	Ramp2
Crh	Adrb3
Cd86	Cd28
Calm1	Oprm1
Cxcl11	Mtnr1a
Vip	Ramp3
Gip	Ramp3
Fgf20	Fgfr2
Wnt4	Lrp6
Scgb3a1	Notch3
Alcam	Cd6
Gip	Tshr
Ccl17	Ackr2
Apln	Mtnr1a
Cd6	Alcam
Ccl26	Cx3cr1
Epo	Ephb4
Npy	Mtnr1a
Ccl5	Adra2a
Lrrc4b	Ptprf
Ncam1	Ncam1
Gad1	Grm4
Cxcl3	Adra2a
Ccl19	Adra2a
Avp	Vipr1
Cd200	Cd200r1
Cd200	Cd200r4
Cd200	Cd200r2
Cd200	Cd200r3
Cd80	Cd274
Ngf	Sorcs2
Gip	Gpr84
Iapp	Tshr
Crh	Gpr20
Calm1	Adcyap1r1
Kng2	Mtnr1a
Kng1	Mtnr1a
F11r	Jam3
Esam	Esam
Apln	Grm7
Cdh2	Cdh2
Adm2	Tshr
Gdf11	Tgfbr1
Tgfb3	Itgb3
Adcyap1	Gpr20
Lhb	Tshr
Pth2	Tshr
Tshb	Adcyap1r1
Pecam1	Pecam1
Il17c	Il17ra
Calm1	Pde1c
Gip	Gpr20
Cga	Adcyap1r1
Ngf	Trpv1
Cort	Adra2a
Cxcl11	Adra2a
Cxcl5	Mtnr1a
Iapp	Gpr84
Adcyap1	Gpr84
Tshb	Vipr1
Avp	Ramp2
Rln3	Adrb3
Wnt5a	Antxr1
Nps	Tshr
Cd274	Pdcd1
Ccl20	Adra2a
Wnt9b	Lrp6
Agt	Grm7
Cga	Adrb2
Rln3	Mtnr1a
Tph1	Htr6
Negr1	Negr1
Cga	Vipr1
Gip	Vipr1
Wnt5a	Adrb2
Icosl	Icos
Vip	Adrb3
Cxcl2	Mtnr1a
Gcg	Ramp2
Lhb	Gpr20
Pth	Vipr1
Cd58	Cd2
Tshb	Ramp3
Cxcl5	Adra2a
Insl3	Adrb2
Sct	Adcyap1r1
Mstn	Acvr1b
Lefty2	Acvr2a
Lefty1	Acvr2a
Rln1	Adcyap1r1
Rln3	Ramp3
Il36a	Il1rap
Dsc1	Dsg2
Mag	Mag
Adm2	Vipr1
Cxcl5	Grm7
Nrxn1	Nlgn1
Hspg2	Fgfr1
Hdc	Hrh1
Efna5	Epha10
Sst	Mtnr1a
Pyy	Mtnr1a
a	Mgrn1
Wnt11	Musk
Tshb	Gpr20
Hc	Grm7
Saa1	Adra2a
Dusp18	Itga6
Cxcl10	Adra2a
Iapp	Vipr1
Hdc	Hrh2
Pnoc	Mtnr1a
Gcg	Gpr20
Cga	Adrb3
Iapp	Gpr20
Sct	Adrb2
Dusp18	Itgb4
Ccl5	Grm7
Calcb	Gpr20
Lefty2	Acvr2a
Lefty1	Acvr2a
Angpt2	Itgb1
Calcb	Tshr
Wnt3a	Fzd4
Calca	Ramp3
Pomc	Vipr1
Pros1	Mertk
Cxcl3	Grm7
Sct	Adrb3
Pmch	Adra2a
Calm1	Pde1b
Jam2	Itgb1
Adcyap1	Adrb3
Ghrh	Vipr2
Gm13306	Grm7
Ccl27b	Grm7
Ccl27a	Grm7
Nps	Ramp2
Wnt5a	Ptprk
Cd80	Ctla4
Calcb	Gpr84
Calm1	Gp6
Crh	Tshr
Rln3	Grm7
Jam2	Jam2
Calca	Vipr1
Wnt8a	Lrp6
Pomc	Adra2a
Mstn	Tgfbr1
Avp	Gpr84
Adcyap1	Adrb2
Fshb	Tshr
Tnfsf12	Cd163
Cxcl12	Grm7
Calm1	Htr2c
Calcb	Ramp2
Avp	Ramp3
Rln3	Adra2a
Il36g	Il1rl2
Crh	Vipr1
Nms	Mtnr1a
Il36g	Il1rap
Calcb	Adrb2
Hdc	Hrh3
Avp	Adrb3
Ccl17	Ackr1
Grn	Tnfrsf1a
Calca	Adrb2
Nrtn	Gfra3
Adm2	Gpr20
Calm1	Sctr
Dusp18	Itga1
Ghrh	Adrb2
Gcg	Ramp3
Adcyap1	Ramp2
Cga	Ramp2
Grn	Tnfrsf1b
Ccl21d	Mtnr1a
Gm13304	Mtnr1a
Ccl21b	Mtnr1a
Gm10591	Mtnr1a
Ccl21a	Mtnr1a
Sct	Ramp2
Wnt5a	Lrp2
Ccl28	Grm7
Apob	Lrp1
Wnt8b	Lrp5
Tph1	Htr1a
Cxcl12	Adra2a
Gal	Adra2a
Egf	Adrb2
Calcb	Adcyap1r1
Cxcl13	Adra2a
Cdh15	Cdh15
Dusp18	Rpsa
Ccl22	Ackr2
Tshb	Adrb3
Lhb	Adrb2
Trf	Lrp2
Adm2	Adcyap1r1
Nectin3	Tigit
Pomc	Mtnr1a
Ppbp	Grm7
Rln1	Adrb3
Alox5ap	Alox5
Grn	Egfr
Crh	Adrb2
Calm1	Glp1r
Wnt10b	Lrp6
Ccl5	Ackr1
Cxcl5	Ackr1
Penk	Adra2a
Calm2	Pde1a
Npy	Adra2a
Ghrh	Adrb3
Wnt7a	Lrp5
Calm1	Mylk
Ppy	Grm7
Cxcl9	Adra2a
Cntn1	Nrcam
Tshb	Gpr84
Pdcd1lg2	Pdcd1
Wnt10b	Fzd3
Cxcl5	Ackr1
Dusp18	Itgb1
Sct	Gpr84
Pnoc	Adra2a
Lhb	Ramp2
Pdyn	Oprl1
Vip	Gpr20
Ccl19	Grm7
Sele	Cd44
Rln3	Adcyap1r1
Penk	Oprl1
Agrn	Lrp1
Vegfd	Nrp2
Wnt7b	Fzd4
Il33	Il1rap
Pdyn	Adra2a
Cdh5	Cdh5
Cxcl10	Mtnr1a
Pyy	Adra2a
Gcg	Adcyap1r1
Pomc	Ramp2
Cadm3	Nectin3
Avp	Adrb2
Cort	Grm7
Cxcl3	Mtnr1a
Ccl19	Mtnr1a
Ccl28	Mtnr1a
Insl3	Adrb3
H2-D1	Klrk1
H2-Q1	Klrk1
H2-Q2	Klrk1
H2-Q4	Klrk1
H2-Q6	Klrk1
H2-Q7	Klrk1
H2-Q10	Klrk1
H2-T24	Klrk1
H2-T23	Klrk1
H2-T22	Klrk1
Gm11127	Klrk1
Gm7030	Klrk1
H2-T10	Klrk1
Gm8909	Klrk1
H2-T3	Klrk1
H2-M10.2	Klrk1
H2-M10.1	Klrk1
H2-M10.3	Klrk1
H2-M10.4	Klrk1
H2-M11	Klrk1
H2-M9	Klrk1
H2-M1	Klrk1
H2-M10.5	Klrk1
H2-M10.6	Klrk1
H2-M3	Klrk1
H2-M2	Klrk1
H2-M5	Klrk1
H2-K1	Klrk1
Ghrh	Ramp2
Tigit	Pvr
Vip	Gpr84
Cxcl16	Grm7
Vip	Tshr
Calca	Gpr84
Ghrh	Adcyap1r1
Ppy	Adra2a
Calm1	Hmmr
Cldn11	Cldn11
Lhb	Adrb3
Wnt10a	Lrp5
Cxcl8	Cxcr2
Cxcl8	Cxcr1
Cers1	Acvr1c
Gdf1	Acvr1c
Tgfb3	Itgb1
Calm1	Glp2r
Fshb	Adcyap1r1
Wnt10b	Fzd2
